bran¿a|lokalizacja|p³eæ|id|Wiek Zatrudnionych|Przedzia³ wiekowy
Budownictwo|wieœ|k|60|35-44 lat|3305
Budownictwo|wieœ|k|60|45-54 lat|3098
Budownictwo|wieœ|k|60|55-64 lat|352
Budownictwo|wieœ|k|60|65 i starsi|41
Handel i naprawy|wieœ|k|61|15-24 lat|66961
Handel i naprawy|wieœ|k|61|25-34 lat|86413
Handel i naprawy|wieœ|k|61|35-44 lat|66278
Handel i naprawy|wieœ|k|61|45-54 lat|43140
Handel i naprawy|wieœ|k|61|55-64 lat|5983
Handel i naprawy|wieœ|k|61|65 i starsi|1047
Hotele i restauracje|wieœ|k|62|15-24 lat|13740
Hotele i restauracje|wieœ|k|62|25-34 lat|14406
Hotele i restauracje|wieœ|k|62|35-44 lat|12397
Hotele i restauracje|wieœ|k|62|45-54 lat|9026
Hotele i restauracje|wieœ|k|62|55-64 lat|1212
Hotele i restauracje|wieœ|k|62|65 i starsi|200
Transport, gospodarka magazynowa i ³¹cznoœæ|wieœ|k|63|15-24 lat|3694
Transport, gospodarka magazynowa i ³¹cznoœæ|wieœ|k|63|25-34 lat|14072
Transport, gospodarka magazynowa i ³¹cznoœæ|wieœ|k|63|35-44 lat|20684
Transport, gospodarka magazynowa i ³¹cznoœæ|wieœ|k|63|45-54 lat|13609
Transport, gospodarka magazynowa i ³¹cznoœæ|wieœ|k|63|55-64 lat|930
Transport, gospodarka magazynowa i ³¹cznoœæ|wieœ|k|63|65 i starsi|72
Poœrednictwo finansowe|wieœ|k|64|15-24 lat|4736
Poœrednictwo finansowe|wieœ|k|64|25-34 lat|11482
Poœrednictwo finansowe|wieœ|k|64|35-44 lat|10682
Poœrednictwo finansowe|wieœ|k|64|45-54 lat|8572
Poœrednictwo finansowe|wieœ|k|64|55-64 lat|780
Poœrednictwo finansowe|wieœ|k|64|65 i starsi|52
Obs³uga nieruchomoœci i firm; nauka|wieœ|k|65|15-24 lat|5552
Obs³uga nieruchomoœci i firm; nauka|wieœ|k|65|25-34 lat|11868
Obs³uga nieruchomoœci i firm; nauka|wieœ|k|65|35-44 lat|12276
Obs³uga nieruchomoœci i firm; nauka|wieœ|k|65|45-54 lat|11701
Obs³uga nieruchomoœci i firm; nauka|wieœ|k|65|55-64 lat|1653
Obs³uga nieruchomoœci i firm; nauka|wieœ|k|65|65 i starsi|188
Administracja publiczna i obrona narodowa; obowi¹zkowe ubezpieczenia spo³eczne i zdrowotne|wieœ|k|66|15-24 lat|22073
Administracja publiczna i obrona narodowa; obowi¹zkowe ubezpieczenia spo³eczne i zdrowotne|wieœ|k|66|25-34 lat|28023
Administracja publiczna i obrona narodowa; obowi¹zkowe ubezpieczenia spo³eczne i zdrowotne|wieœ|k|66|35-44 lat|26985
Administracja publiczna i obrona narodowa; obowi¹zkowe ubezpieczenia spo³eczne i zdrowotne|wieœ|k|66|45-54 lat|23201
Administracja publiczna i obrona narodowa; obowi¹zkowe ubezpieczenia spo³eczne i zdrowotne|wieœ|k|66|55-64 lat|3036
Administracja publiczna i obrona narodowa; obowi¹zkowe ubezpieczenia spo³eczne i zdrowotne|wieœ|k|66|65 i starsi|205
Edukacja|wieœ|k|67|15-24 lat|6896
Edukacja|wieœ|k|67|25-34 lat|47463
Edukacja|wieœ|k|67|35-44 lat|69713
Edukacja|wieœ|k|67|45-54 lat|47496
Edukacja|wieœ|k|67|55-64 lat|7265
Edukacja|wieœ|k|67|65 i starsi|280
Ochrona zdrowia i opieka spo³eczna|wieœ|k|68|15-24 lat|7968
Ochrona zdrowia i opieka spo³eczna|wieœ|k|68|25-34 lat|49480
Ochrona zdrowia i opieka spo³eczna|wieœ|k|68|35-44 lat|65188
Ochrona zdrowia i opieka spo³eczna|wieœ|k|68|45-54 lat|42528
Ochrona zdrowia i opieka spo³eczna|wieœ|k|68|55-64 lat|4299
Ochrona zdrowia i opieka spo³eczna|wieœ|k|68|65 i starsi|395
Pozosta³a dzia³alnoœæ us³ugowa komunalna, spo³eczna i indywidualna|wieœ|k|69|15-24 lat|10209
Pozosta³a dzia³alnoœæ us³ugowa komunalna, spo³eczna i indywidualna|wieœ|k|69|25-34 lat|11815
Pozosta³a dzia³alnoœæ us³ugowa komunalna, spo³eczna i indywidualna|wieœ|k|69|35-44 lat|10928
Pozosta³a dzia³alnoœæ us³ugowa komunalna, spo³eczna i indywidualna|wieœ|k|69|45-54 lat|9241
Pozosta³a dzia³alnoœæ us³ugowa komunalna, spo³eczna i indywidualna|wieœ|k|69|55-64 lat|1586
Pozosta³a dzia³alnoœæ us³ugowa komunalna, spo³eczna i indywidualna|wieœ|k|69|65 i starsi|291
Gospodarstwa domowe zatrudniaj¹ce pracowników|wieœ|k|70|15-24 lat|718
Gospodarstwa domowe zatrudniaj¹ce pracowników|wieœ|k|70|25-34 lat|942
Gospodarstwa domowe zatrudniaj¹ce pracowników|wieœ|k|70|35-44 lat|486
Gospodarstwa domowe zatrudniaj¹ce pracowników|wieœ|k|70|45-54 lat|436
Gospodarstwa domowe zatrudniaj¹ce pracowników|wieœ|k|70|55-64 lat|104
Gospodarstwa domowe zatrudniaj¹ce pracowników|wieœ|k|70|65 i starsi|49
Organizacje i zespo³y eksterytorialne|wieœ|k|71|15-24 lat|1
Organizacje i zespo³y eksterytorialne|wieœ|k|71|25-34 lat|6
Organizacje i zespo³y eksterytorialne|wieœ|k|71|35-44 lat|2
Organizacje i zespo³y eksterytorialne|wieœ|k|71|45-54 lat|2
Organizacje i zespo³y eksterytorialne|wieœ|k|71|55-64 lat|0
Organizacje i zespo³y eksterytorialne|wieœ|k|71|65 i starsi|0
Nieustalony rodzaj dzia³alnoœci|wieœ|k|72|15-24 lat|1643
Nieustalony rodzaj dzia³alnoœci|wieœ|k|72|25-34 lat|1298
Nieustalony rodzaj dzia³alnoœci|wieœ|k|72|35-44 lat|1195
Nieustalony rodzaj dzia³alnoœci|wieœ|k|72|45-54 lat|1044
Nieustalony rodzaj dzia³alnoœci|wieœ|k|72|55-64 lat|863
Nieustalony rodzaj dzia³alnoœci|wieœ|k|72|65 i starsi|1092
